"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"2/23/2024 12:00:00 AM","45345.7083333333","1,543 MB","1618442221.6796","0.15 Mbit/s","18733.4532","76 MB","79344422.5986","","918.4109","1,468 MB","1539097799.0810","0.14 Mbit/s","17815.0423","0 %","0.0000","100 %","0000009999"
"2/24/2024 12:00:00 AM","45346.7083333333","2,067 MB","2167354551.2483","0.20 Mbit/s","25087.1634","186 MB","195152529.2105","0.02 Mbit/s","2258.8936","1,881 MB","1972202022.0378","0.18 Mbit/s","22828.2697","0 %","0.0000","100 %","0000009999"
"2/25/2024 12:00:00 AM","45347.7083333333","5,513 MB","5780549150.0060","0.54 Mbit/s","67002.9146","128 MB","134384310.9788","0.01 Mbit/s","1557.6618","5,385 MB","5646164839.0272","0.52 Mbit/s","65445.2528","0 %","0.0000","100 %","0000009996"
"2/26/2024 12:00:00 AM","45348.7083333333","2,014 MB","2111438895.4052","0.20 Mbit/s","24439.9020","84 MB","88165604.8167","","1020.5167","1,930 MB","2023273290.5885","0.19 Mbit/s","23419.3852","0 %","0.0000","100 %","0000009999"
"2/27/2024 12:00:00 AM","45349.7083333333","19,333 MB","20271721578.4368","1.88 Mbit/s","234644.9561","415 MB","435241118.4609","0.04 Mbit/s","5037.9112","18,918 MB","19836480459.9759","1.84 Mbit/s","229607.0449","0 %","0.0000","100 %","0000009999"
"2/28/2024 12:00:00 AM","45350.7083333333","2,184 MB","2290436465.5122","0.21 Mbit/s","26511.7986","57 MB","59876161.3802","","693.0665","2,127 MB","2230560304.1319","0.21 Mbit/s","25818.7321","0 %","0.0000","100 %","0000009999"
"2/29/2024 12:00:00 AM","45351.7083333333","3,823 MB","4009226348.1785","0.37 Mbit/s","46784.6702","104 MB","108551133.3526","0.01 Mbit/s","1266.7105","3,720 MB","3900675214.8259","0.36 Mbit/s","45517.9597","0 %","0.0000","99 %","0000009918"
"3/1/2024 12:00:00 AM","45352.7083333333","152 MB","159857582.6795","0.01 Mbit/s","1850.3513","22 MB","23204743.7488","","268.5949","130 MB","136652838.9308","0.01 Mbit/s","1581.7564","0 %","0.0000","100 %","0000009999"
"3/2/2024 12:00:00 AM","45353.7083333333","1,043 MB","1093733734.3133","0.10 Mbit/s","12659.9722","35 MB","37069593.4366","","429.0807","1,008 MB","1056664140.8767","0.10 Mbit/s","12230.8915","0 %","0.0000","100 %","0000009999"
"3/3/2024 12:00:00 AM","45354.7083333333","35,212 MB","36922012265.2732","3.42 Mbit/s","427720.2809","776 MB","813299416.9679","0.08 Mbit/s","9421.6061","34,436 MB","36108712848.3053","3.35 Mbit/s","418298.6748","0 %","0.0000","100 %","0000009991"
"3/4/2024 12:00:00 AM","45355.7083333333","371 MB","389021283.9642","0.04 Mbit/s","4502.9395","38 MB","40046432.6559","","463.5393","333 MB","348974851.3083","0.03 Mbit/s","4039.4002","0 %","0.0000","100 %","0000009999"
"3/5/2024 12:00:00 AM","45356.7083333333","7,868 MB","8249920098.3355","0.76 Mbit/s","95492.9451","200 MB","210126445.7880","0.02 Mbit/s","2432.2167","7,667 MB","8039793652.5475","0.74 Mbit/s","93060.7285","0 %","0.0000","100 %","0000009999"
"3/6/2024 12:00:00 AM","45357.7083333333","14,772 MB","15489894728.7609","1.43 Mbit/s","179295.9020","677 MB","710227972.3683","0.07 Mbit/s","8220.9058","14,095 MB","14779666756.3926","1.37 Mbit/s","171074.9963","0 %","0.0000","100 %","0000009999"
"3/7/2024 12:00:00 AM","45358.7083333333","10,280 MB","10779125678.1005","1 Mbit/s","124768.4787","139 MB","145920323.5052","0.01 Mbit/s","1689.0291","10,141 MB","10633205354.5952","0.98 Mbit/s","123079.4496","0 %","0.0000","100 %","0000009999"
"3/8/2024 12:00:00 AM","45359.7083333333","2,765 MB","2899708045.7905","0.36 Mbit/s","44615.1212","135 MB","141087711.2112","0.02 Mbit/s","2170.7859","2,631 MB","2758620334.5793","0.34 Mbit/s","42444.3353","0 %","0.0000","75 %","0000007522"
"Sums (of 15 values)",,"108,941 MB",,"",,"3,072 MB",,"",,"105,868 MB",,"",,"",,"",
"Averages (of 15 values)",,"7,263 MB",,"0.72 Mbit/s",,"205 MB",,"0.02 Mbit/s",,"7,058 MB",,"0.70 Mbit/s",,"0 %",,"98 %",
