"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"2/23/2024 12:00:00 AM - 1:00:00 AM","45344.7500000000","97 MB","101254034.7231","0.23 Mbit/s","28128.2304","3.87 MB","4053945.0687","","1126.1803","93 MB","97200089.6544","0.22 Mbit/s","27002.0501","0 %","0.0000","100 %","0000009999"
"2/23/2024 1:00:00 AM - 2:00:00 AM","45344.7916666667","8.55 MB","8968794.6037","0.02 Mbit/s","2491.5395","2.60 MB","2723274.2831","","756.5281","5.96 MB","6245520.3206","0.01 Mbit/s","1735.0113","0 %","0.0000","100 %","0000009999"
"2/23/2024 2:00:00 AM - 3:00:00 AM","45344.8333333333","11 MB","11218707.3797","0.02 Mbit/s","3116.5587","2.62 MB","2752482.8192","","764.6402","8.07 MB","8466224.5604","0.02 Mbit/s","2351.9185","0 %","0.0000","100 %","0000009999"
"2/23/2024 3:00:00 AM - 4:00:00 AM","45344.8750000000","8.42 MB","8829265.5511","0.02 Mbit/s","2452.7509","2.49 MB","2614746.6957","","726.3710","5.93 MB","6214518.8554","0.01 Mbit/s","1726.3799","0 %","0.0000","100 %","0000009999"
"2/23/2024 4:00:00 AM - 5:00:00 AM","45344.9166666667","8.57 MB","8985911.6817","0.02 Mbit/s","2496.3223","2.32 MB","2436452.7937","","676.8564","6.25 MB","6549458.8880","0.01 Mbit/s","1819.4660","0 %","0.0000","100 %","0000009999"
"2/23/2024 5:00:00 AM - 6:00:00 AM","45344.9583333333","8.03 MB","8414913.3035","0.02 Mbit/s","2337.6642","2.47 MB","2587088.3890","","718.6936","5.56 MB","5827824.9145","0.01 Mbit/s","1618.9707","0 %","0.0000","100 %","0000009999"
"2/23/2024 6:00:00 AM - 7:00:00 AM","45345.0000000000","48 MB","50064374.5536","0.11 Mbit/s","13907.7365","3.14 MB","3293400.5541","","914.8970","45 MB","46770973.9995","0.10 Mbit/s","12992.8395","0 %","0.0000","100 %","0000009999"
"2/23/2024 7:00:00 AM - 8:00:00 AM","45345.0416666667","9.02 MB","9458730.1349","0.02 Mbit/s","2627.6367","2.56 MB","2687371.2292","","746.5521","6.46 MB","6771358.9057","0.02 Mbit/s","1881.0846","0 %","0.0000","100 %","0000009999"
"2/23/2024 8:00:00 AM - 9:00:00 AM","45345.0833333333","9.87 MB","10345713.5386","0.02 Mbit/s","2874.0329","2.66 MB","2790623.4136","","775.2335","7.21 MB","7555090.1250","0.02 Mbit/s","2098.7994","0 %","0.0000","100 %","0000009999"
"2/23/2024 9:00:00 AM - 10:00:00 AM","45345.1250000000","7.50 MB","7869017.7944","0.02 Mbit/s","2186.0326","2.18 MB","2284055.5549","","634.5163","5.33 MB","5584962.2395","0.01 Mbit/s","1551.5163","0 %","0.0000","100 %","0000009999"
"2/23/2024 10:00:00 AM - 11:00:00 AM","45345.1666666667","8.56 MB","8978498.4555","0.02 Mbit/s","2494.2075","2.26 MB","2365296.7473","","657.0743","6.31 MB","6613201.7082","0.01 Mbit/s","1837.1332","0 %","0.0000","100 %","0000009999"
"2/23/2024 11:00:00 AM - 12:00:00 PM","45345.2083333333","21 MB","22067141.9042","0.05 Mbit/s","6130.2044","5.98 MB","6266830.2043","0.01 Mbit/s","1740.9119","15 MB","15800311.6998","0.04 Mbit/s","4389.2925","0 %","0.0000","100 %","0000009999"
"2/23/2024 12:00:00 PM - 1:00:00 PM","45345.2500000000","14 MB","14419841.1318","0.03 Mbit/s","4005.8564","5.52 MB","5784238.2400","0.01 Mbit/s","1606.8712","8.24 MB","8635602.8918","0.02 Mbit/s","2398.9852","0 %","0.0000","100 %","0000009999"
"2/23/2024 1:00:00 PM - 2:00:00 PM","45345.2916666667","7.86 MB","8238805.3781","0.02 Mbit/s","2288.7414","2.24 MB","2346018.2450","","651.7242","5.62 MB","5892787.1331","0.01 Mbit/s","1637.0172","0 %","0.0000","100 %","0000009999"
"2/23/2024 2:00:00 PM - 3:00:00 PM","45345.3333333333","10 MB","10922050.5504","0.02 Mbit/s","3034.1389","2.19 MB","2298491.2424","","638.5195","8.22 MB","8623559.3081","0.02 Mbit/s","2395.6195","0 %","0.0000","100 %","0000009999"
"2/23/2024 3:00:00 PM - 4:00:00 PM","45345.3750000000","11 MB","11351090.1707","0.03 Mbit/s","3153.3259","1.71 MB","1795849.8645","","498.8860","9.11 MB","9555240.3062","0.02 Mbit/s","2654.4399","0 %","0.0000","100 %","0000009999"
"2/23/2024 4:00:00 PM - 5:00:00 PM","45345.4166666667","278 MB","290987357.5018","0.65 Mbit/s","80835.6597","12 MB","12447242.3034","0.03 Mbit/s","3457.8170","266 MB","278540115.1984","0.62 Mbit/s","77377.8426","0 %","0.0000","100 %","0000009999"
"2/23/2024 5:00:00 PM - 6:00:00 PM","45345.4583333333","12 MB","12397042.6776","0.03 Mbit/s","3443.9195","2.07 MB","2175320.8821","","604.3078","9.75 MB","10221721.7954","0.02 Mbit/s","2839.6117","0 %","0.0000","100 %","0000009999"
"2/23/2024 6:00:00 PM - 7:00:00 PM","45345.5000000000","401 MB","420335418.0339","0.93 Mbit/s","116769.8935","5.01 MB","5251557.2060","0.01 Mbit/s","1458.8915","396 MB","415083860.8279","0.92 Mbit/s","115311.0020","0 %","0.0000","100 %","0000009999"
"2/23/2024 7:00:00 PM - 8:00:00 PM","45345.5416666667","544 MB","569913146.2055","1.27 Mbit/s","158321.5212","6.88 MB","7215037.8846","0.02 Mbit/s","2004.3331","537 MB","562698108.3209","1.25 Mbit/s","156317.1881","0 %","0.0000","100 %","0000009999"
"2/23/2024 8:00:00 PM - 9:00:00 PM","45345.5833333333","6.46 MB","6773966.3966","0.02 Mbit/s","1881.8037","0.82 MB","860556.2583","","239.0620","5.64 MB","5913410.1383","0.01 Mbit/s","1642.7417","0 %","0.0000","100 %","0000009999"
"2/23/2024 9:00:00 PM - 10:00:00 PM","45345.6250000000","5.26 MB","5516081.9077","0.01 Mbit/s","1532.3684","0.74 MB","779193.0212","","216.4599","4.52 MB","4736888.8865","0.01 Mbit/s","1315.9085","0 %","0.0000","100 %","0000009999"
"2/23/2024 10:00:00 PM - 11:00:00 PM","45345.6666666667","5.22 MB","5472374.1610","0.01 Mbit/s","1520.2179","0.74 MB","778486.3488","","216.2624","4.48 MB","4693887.8122","0.01 Mbit/s","1303.9555","0 %","0.0000","100 %","0000009999"
"2/23/2024 11:00:00 PM - 12:00:00 AM","45345.7083333333","5.40 MB","5659943.9408","0.01 Mbit/s","1572.3246","0.72 MB","756863.3495","","210.2556","4.68 MB","4903080.5913","0.01 Mbit/s","1362.0690","0 %","0.0000","100 %","0000009999"
"2/24/2024 12:00:00 AM - 1:00:00 AM","45345.7500000000","7.24 MB","7593115.3249","0.02 Mbit/s","2109.3452","0.95 MB","990937.3409","","275.2795","6.30 MB","6602177.9840","0.01 Mbit/s","1834.0657","0 %","0.0000","100 %","0000009999"
"2/24/2024 1:00:00 AM - 2:00:00 AM","45345.7916666667","5.49 MB","5756139.5829","0.01 Mbit/s","1599.0831","0.74 MB","773840.4871","","214.9766","4.75 MB","4982299.0958","0.01 Mbit/s","1384.1065","0 %","0.0000","100 %","0000009999"
"2/24/2024 2:00:00 AM - 3:00:00 AM","45345.8333333333","10 MB","10990626.7160","0.02 Mbit/s","3053.1893","1.03 MB","1080117.7737","","300.0561","9.45 MB","9910508.9423","0.02 Mbit/s","2753.1333","0 %","0.0000","100 %","0000009999"
"2/24/2024 3:00:00 AM - 4:00:00 AM","45345.8750000000","5.78 MB","6059273.9177","0.01 Mbit/s","1683.2719","0.78 MB","821370.5862","","228.1775","5 MB","5237903.3315","0.01 Mbit/s","1455.0944","0 %","0.0000","100 %","0000009999"
"2/24/2024 4:00:00 AM - 5:00:00 AM","45345.9166666667","5.57 MB","5839886.0457","0.01 Mbit/s","1622.3213","0.78 MB","813791.3608","","226.0714","4.79 MB","5026094.6848","0.01 Mbit/s","1396.2499","0 %","0.0000","100 %","0000009999"
"2/24/2024 5:00:00 AM - 6:00:00 AM","45345.9583333333","5.31 MB","5570584.1187","0.01 Mbit/s","1547.5177","0.72 MB","759372.4107","","210.9549","4.59 MB","4811211.7080","0.01 Mbit/s","1336.5628","0 %","0.0000","100 %","0000009999"
"2/24/2024 6:00:00 AM - 7:00:00 AM","45346.0000000000","5.77 MB","6046886.2558","0.01 Mbit/s","1679.8166","0.79 MB","827874.1892","","229.9823","4.98 MB","5219012.0667","0.01 Mbit/s","1449.8343","0 %","0.0000","100 %","0000009999"
"2/24/2024 7:00:00 AM - 8:00:00 AM","45346.0416666667","5.67 MB","5945510.6171","0.01 Mbit/s","1651.6730","0.76 MB","801952.5021","","222.7838","4.91 MB","5143558.1150","0.01 Mbit/s","1428.8892","0 %","0.0000","100 %","0000009999"
