Date Time,Traffic Total (Volume)
2024-02-15 00:00:00,1085.44
2024-02-15 00:01:00,1945.6
2024-02-15 00:02:00,1423.36
2024-02-15 00:03:00,1966.08
2024-02-15 00:04:00,172032.0
2024-02-15 00:05:00,78848.0
2024-02-15 00:06:00,10199.04
2024-02-15 00:07:00,1443.84
2024-02-15 00:08:00,1351.68
2024-02-15 00:09:00,1423.36
2024-02-15 00:10:00,1239.04
2024-02-15 00:11:00,1515.52
2024-02-15 00:12:00,1495.04
2024-02-15 00:13:00,1413.12
2024-02-15 00:14:00,51200.0
2024-02-15 00:15:00,61440.0
2024-02-15 00:16:00,29696.0
2024-02-15 00:17:00,5570.56
2024-02-15 00:18:00,1259.52
2024-02-15 00:19:00,1320.96
2024-02-15 00:20:00,35840.0
2024-02-15 00:21:00,9912.32
2024-02-15 00:22:00,1484.8
2024-02-15 00:23:00,1945.6
2024-02-15 00:24:00,2355.2
2024-02-15 00:25:00,1945.6
2024-02-15 00:26:00,1351.68
2024-02-15 00:27:00,1525.76
2024-02-15 00:28:00,1167.36
2024-02-15 00:29:00,1648.64
2024-02-15 00:30:00,1075.2
2024-02-15 00:31:00,1751.04
2024-02-15 00:32:00,1054.72
2024-02-15 00:33:00,1536.0
2024-02-15 00:34:00,1167.36
2024-02-15 00:35:00,6307.84
2024-02-15 00:36:00,2457.6
2024-02-15 00:37:00,1341.44
2024-02-15 00:38:00,983.04
2024-02-15 00:39:00,2201.6
2024-02-15 00:40:00,1198.08
2024-02-15 00:41:00,1372.16
2024-02-15 00:42:00,1105.92
2024-02-15 00:43:00,2600.96
2024-02-15 00:44:00,1617.92
2024-02-15 00:45:00,2877.44
2024-02-15 00:46:00,2160.64
2024-02-15 00:47:00,1566.72
2024-02-15 00:48:00,1095.68
2024-02-15 00:49:00,1648.64
2024-02-15 00:50:00,1269.76
2024-02-15 00:51:00,1607.68
2024-02-15 00:52:00,1095.68
2024-02-15 00:53:00,1515.52
2024-02-15 00:54:00,1269.76
2024-02-15 00:55:00,2242.56
2024-02-15 00:56:00,1566.72
2024-02-15 00:57:00,1300.48
2024-02-15 00:58:00,1167.36
2024-02-15 00:59:00,1597.44
2024-02-15 01:00:00,1105.92
2024-02-15 01:01:00,2201.6
2024-02-15 01:02:00,1290.24
2024-02-15 01:03:00,1689.6
2024-02-15 01:04:00,8181.76
2024-02-15 01:05:00,6676.48
2024-02-15 01:06:00,1955.84
2024-02-15 01:07:00,1781.76
2024-02-15 01:08:00,1187.84
2024-02-15 01:09:00,1300.48
2024-02-15 01:10:00,1566.72
2024-02-15 01:11:00,1607.68
2024-02-15 01:12:00,1331.2
2024-02-15 01:13:00,1464.32
2024-02-15 01:14:00,1495.04
2024-02-15 01:15:00,1781.76
2024-02-15 01:16:00,1474.56
2024-02-15 01:17:00,2211.84
2024-02-15 01:18:00,10240.0
2024-02-15 01:19:00,10240.0
2024-02-15 01:20:00,8704.0
2024-02-15 01:21:00,25600.0
2024-02-15 01:22:00,6563.84
2024-02-15 01:23:00,9390.08
2024-02-15 01:24:00,3328.0
2024-02-15 01:25:00,1259.52
2024-02-15 01:26:00,1259.52
2024-02-15 01:27:00,1269.76
2024-02-15 01:28:00,1320.96
2024-02-15 01:29:00,1300.48
2024-02-15 01:30:00,1064.96
2024-02-15 01:31:00,1720.32
2024-02-15 01:32:00,1331.2
2024-02-15 01:33:00,1290.24
2024-02-15 01:34:00,1996.8
2024-02-15 01:35:00,1495.04
2024-02-15 01:36:00,1771.52
2024-02-15 01:37:00,132096.0
2024-02-15 01:38:00,37888.0
2024-02-15 01:39:00,2355.2
2024-02-15 01:40:00,3809.28
2024-02-15 01:41:00,2201.6
2024-02-15 01:42:00,1402.88
2024-02-15 01:43:00,1556.48
2024-02-15 01:44:00,1474.56
2024-02-15 01:45:00,6625.28
2024-02-15 01:46:00,2785.28
2024-02-15 01:47:00,1372.16
2024-02-15 01:48:00,1167.36
2024-02-15 01:49:00,2355.2
2024-02-15 01:50:00,1474.56
2024-02-15 01:51:00,1269.76
2024-02-15 01:52:00,1136.64
2024-02-15 01:53:00,1249.28
2024-02-15 01:54:00,1372.16
2024-02-15 01:55:00,1331.2
2024-02-15 01:56:00,2283.52
2024-02-15 01:57:00,51200.0
2024-02-15 01:58:00,14336.0
2024-02-15 01:59:00,1771.52
2024-02-15 02:00:00,1413.12
2024-02-15 02:01:00,3266.56
2024-02-15 02:02:00,1556.48
2024-02-15 02:03:00,1556.48
2024-02-15 02:04:00,1320.96
2024-02-15 02:05:00,1730.56
2024-02-15 02:06:00,1341.44
2024-02-15 02:07:00,80896.0
2024-02-15 02:08:00,21504.0
2024-02-15 02:09:00,1290.24
2024-02-15 02:10:00,1228.8
2024-02-15 02:11:00,32768.0
2024-02-15 02:12:00,11264.0
2024-02-15 02:13:00,1996.8
2024-02-15 02:14:00,2242.56
2024-02-15 02:15:00,2191.36
2024-02-15 02:16:00,2293.76
2024-02-15 02:17:00,1597.44
2024-02-15 02:18:00,1239.04
2024-02-15 02:19:00,1433.6
2024-02-15 02:20:00,96256.0
2024-02-15 02:21:00,155648.0
2024-02-15 02:22:00,33792.0
2024-02-15 02:23:00,1576.96
2024-02-15 02:24:00,1228.8
2024-02-15 02:25:00,3276.8
2024-02-15 02:26:00,1730.56
2024-02-15 02:27:00,5294.08
2024-02-15 02:28:00,1976.32
2024-02-15 02:29:00,1290.24
2024-02-15 02:30:00,1218.56
2024-02-15 02:31:00,1884.16
2024-02-15 02:32:00,1269.76
2024-02-15 02:33:00,1454.08
2024-02-15 02:34:00,1413.12
2024-02-15 02:35:00,1208.32
2024-02-15 02:36:00,1044.48
2024-02-15 02:37:00,1474.56
2024-02-15 02:38:00,1208.32
2024-02-15 02:39:00,1699.84
2024-02-15 02:40:00,1075.2
2024-02-15 02:41:00,1402.88
2024-02-15 02:42:00,1003.52
2024-02-15 02:43:00,1454.08
2024-02-15 02:44:00,1433.6
2024-02-15 02:45:00,1505.28
2024-02-15 02:46:00,1177.6
2024-02-15 02:47:00,1484.8
2024-02-15 02:48:00,1024.0
2024-02-15 02:49:00,1413.12
