"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"3/12/2024 12:00:00 AM - 1:00:00 AM","45362.7500000000","1,211 MB","1270109535.9919","2.82 Mbit/s","352839.5680","950 MB","996424501.5011","2.21 Mbit/s","276809.1890","261 MB","273685034.4907","0.61 Mbit/s","76030.3789","0 %","0.0000","100 %","0000009999"
"3/12/2024 1:00:00 AM - 2:00:00 AM","45362.7916666667","307 MB","321683746.9571","0.71 Mbit/s","89363.0504","154 MB","161545875.9079","0.36 Mbit/s","44877.0955","153 MB","160137871.0493","0.36 Mbit/s","44485.9548","0 %","0.0000","100 %","0000009999"
"3/12/2024 2:00:00 AM - 3:00:00 AM","45362.8333333333","8.45 MB","8861678.7776","0.02 Mbit/s","2461.7826","6.46 MB","6770259.1986","0.02 Mbit/s","1880.7843","1.99 MB","2091419.5790","","580.9983","0 %","0.0000","100 %","0000009999"
"3/12/2024 3:00:00 AM - 4:00:00 AM","45362.8750000000","9.18 MB","9629810.9318","0.02 Mbit/s","2675.1778","6.64 MB","6962248.9528","0.02 Mbit/s","1934.1246","2.54 MB","2667561.9790","","741.0533","0 %","0.0000","100 %","0000009999"
"3/12/2024 4:00:00 AM - 5:00:00 AM","45362.9166666667","9.01 MB","9444811.9302","0.02 Mbit/s","2623.7775","7.28 MB","7628832.0699","0.02 Mbit/s","2119.2966","1.73 MB","1815979.8603","","504.4809","0 %","0.0000","100 %","0000009999"
"3/12/2024 5:00:00 AM - 6:00:00 AM","45362.9583333333","9.51 MB","9976078.6532","0.02 Mbit/s","2771.3562","7.20 MB","7553128.0053","0.02 Mbit/s","2098.2601","2.31 MB","2422950.6479","","673.0961","0 %","0.0000","100 %","0000009999"
"3/12/2024 6:00:00 AM - 7:00:00 AM","45363.0000000000","35 MB","36507445.2573","0.08 Mbit/s","10141.7740","32 MB","33685994.3097","0.07 Mbit/s","9357.9745","2.69 MB","2821450.9476","","783.7995","0 %","0.0000","100 %","0000009999"
"3/12/2024 7:00:00 AM - 8:00:00 AM","45363.0416666667","9.26 MB","9704864.5141","0.02 Mbit/s","2696.0204","7.61 MB","7984765.5686","0.02 Mbit/s","2218.1753","1.64 MB","1720098.9455","","477.8451","0 %","0.0000","100 %","0000009999"
"3/12/2024 8:00:00 AM - 9:00:00 AM","45363.0833333333","264 MB","276922038.5998","0.62 Mbit/s","76929.4130","246 MB","257941512.8943","0.57 Mbit/s","71656.5907","18 MB","18980525.7055","0.04 Mbit/s","5272.8223","0 %","0.0000","100 %","0000009999"
"3/12/2024 9:00:00 AM - 10:00:00 AM","45363.1250000000","4.83 MB","5064646.3155","0.01 Mbit/s","1406.9674","4.03 MB","4224454.4130","","1173.5606","0.80 MB","840191.9025","","233.4067","0 %","0.0000","100 %","0000009999"
