Date Time,Date Time(RAW),Traffic Total (Volume),Traffic Total (Volume)(RAW),Traffic Total (Speed),Traffic Total (Speed)(RAW),Traffic In (Volume),Traffic In (Volume)(RAW),Traffic In (Speed),Traffic In (Speed)(RAW),Traffic Out (Volume),Traffic Out (Volume)(RAW),Traffic Out (Speed),Traffic Out (Speed)(RAW),Downtime,Downtime(RAW),Coverage,Coverage(RAW)
2/13/2024 12:00:00 AM - 12:20:00 AM,45334.72222,,,,,,,,,,,,,,,0%,0
2/13/2024 12:20:00 AM - 12:40:00 AM,45334.73611,,,,,,,,,,,,,,,0%,0
2/13/2024 12:40:00 AM - 1:00:00 AM,45334.75,,,,,,,,,,,,,,,0%,0
2/13/2024 1:00:00 AM - 1:20:00 AM,45334.76389,,,,,,,,,,,,,,,0%,0
2/13/2024 1:20:00 AM - 1:40:00 AM,45334.77778,,,,,,,,,,,,,,,0%,0
2/13/2024 1:40:00 AM - 2:00:00 AM,45334.79167,,,,,,,,,,,,,,,0%,0
2/13/2024 2:00:00 AM - 2:20:00 AM,45334.80556,,,,,,,,,,,,,,,0%,0
2/13/2024 2:20:00 AM - 2:40:00 AM,45334.81944,,,,,,,,,,,,,,,0%,0
2/13/2024 2:40:00 AM - 3:00:00 AM,45334.83333,,,,,,,,,,,,,,,0%,0
2/13/2024 3:00:00 AM - 3:20:00 AM,45334.84722,,,,,,,,,,,,,,,0%,0
2/13/2024 3:20:00 AM - 3:40:00 AM,45334.86111,,,,,,,,,,,,,,,0%,0
2/13/2024 3:40:00 AM - 4:00:00 AM,45334.875,,,,,,,,,,,,,,,0%,0
2/13/2024 4:00:00 AM - 4:20:00 AM,45334.88889,,,,,,,,,,,,,,,0%,0
2/13/2024 4:20:00 AM - 4:40:00 AM,45334.90278,,,,,,,,,,,,,,,0%,0
2/13/2024 4:40:00 AM - 5:00:00 AM,45334.91667,,,,,,,,,,,,,,,0%,0
2/13/2024 5:00:00 AM - 5:20:00 AM,45334.93056,,,,,,,,,,,,,,,0%,0
2/13/2024 5:20:00 AM - 5:40:00 AM,45334.94444,,,,,,,,,,,,,,,0%,0
